COIN,TSLA,ABEV,AAPL,ZLAB,BMBL,RLX,IOT,QQQM,GNS,TXT,DE,CEIX,BBY,ABT,KALA,AGCO,ABR,VOO,GERN
55.0,195.88,2.91,149.13,37.5,26.17,1.68,10.55,118.15,0.544,69.99,407.25,62.69,72.11,104.24,6.56,123.82,14.73,364.7,2.34
55.7,192.77,3.03,152.22,38.5,25.4,1.5,9.92,120.3,0.577,70.31,411.76,59.9,76.13,103.45,6.9,126.57,15.01,368.65,2.25
47.5,186.0,2.95,148.97,30.69,23.09,1.5,9.59,117.59,0.58,70.43,404.58,58.99,74.17,103.67,6.66,126.7,15.0,364.57,2.26
51.04,189.9,2.96,145.82,32.0,20.38,1.46,9.4,116.28,0.5,71.19,406.61,61.99,72.14,104.64,6.4,126.7,14.85,363.69,2.22
47.09,190.78,3.01,141.24,29.03,21.55,1.43,9.19,113.51,0.59,70.56,406.31,61.5,70.59,103.03,6.4,129.01,14.75,356.52,2.15
54.5,194.02,3.19,138.5,31.26,22.39,1.53,9.43,110.07,0.63,68.41,400.35,61.5,67.88,99.91,5.25,124.93,14.18,349.08,2.11
60.0,208.65,3.14,140.41,32.19,22.97,1.58,9.68,110.74,0.72,69.31,399.81,66.74,69.29,99.9,5.3,122.49,14.49,350.21,2.1
60.4,222.6,3.21,137.11,29.83,23.71,1.8,10.3,109.33,0.77,68.86,398.58,70.0,68.91,98.78,5.57,123.33,14.65,347.06,2.08
59.4,211.36,3.15,142.09,26.83,22.6,1.46,10.51,109.29,0.84,67.8,400.62,67.94,68.3,97.83,5.66,121.28,14.16,346.41,2.17
63.4,226.04,2.97,142.09,26.0,26.09,1.48,11.84,108.1,0.927,66.38,381.18,65.27,65.38,96.81,6.17,120.92,13.1,341.34,2.16
69.0,234.05,3.02,142.06,24.09,26.21,1.44,12.57,113.15,0.9,68.05,388.71,63.07,68.64,98.73,6.37,113.79,13.6,352.78,2.25
72.37,226.19,3.05,148.95,23.77,25.03,1.35,12.23,115.87,1.41,69.23,398.0,64.87,69.47,99.62,6.02,116.37,14.08,358.53,2.4
72.0,225.4,2.93,155.08,24.03,24.03,1.38,12.23,114.74,1.68,67.57,395.92,63.37,67.95,99.13,6.07,122.23,13.74,355.16,2.38
74.51,229.77,2.87,153.16,25.01,23.58,1.46,12.12,111.93,1.535,65.97,393.8,63.32,65.88,97.32,6.33,122.97,13.4,349.04,2.43
75.28,219.4,2.9,148.2,23.77,23.27,1.16,12.13,113.86,1.26,65.59,398.0,63.28,66.43,98.67,6.51,121.28,13.39,352.05,2.39
67.01,210.1,2.75,148.07,23.21,22.45,1.135,11.5,114.52,1.69,64.68,394.77,62.31,65.92,98.09,6.36,121.36,13.17,350.7,2.31
67.4,205.82,2.79,150.96,25.5,22.0,0.975,11.5,114.97,1.38,63.09,384.0,63.5,64.24,98.07,7.79,119.07,12.55,348.05,2.33
63.4,206.42,2.86,150.09,27.97,21.34,1.0,11.42,113.47,1.3,63.51,381.67,62.39,64.22,96.05,9.96,115.08,12.41,345.45,2.3
63.14,208.28,2.83,147.19,26.58,21.38,1.05,11.39,110.22,2.3,60.95,364.56,63.96,62.56,94.35,9.96,115.01,12.31,335.5,2.24
64.82,219.8,2.8,142.87,28.96,22.11,1.13,11.76,110.89,1.88,62.0,371.83,64.44,63.78,96.52,11.4,110.26,12.45,338.17,2.35
72.9,229.5,2.79,143.02,30.55,23.61,1.16,11.25,111.03,1.89,62.19,370.0,65.11,64.29,101.0,12.5,112.33,12.39,339.04,2.31
66.48,210.04,2.81,141.69,29.26,22.13,1.08,11.2,113.74,1.91,63.2,371.86,69.57,67.29,105.81,14.4,110.99,12.59,344.68,2.23
71.85,224.01,2.77,145.49,29.0,23.49,1.1,11.31,109.72,1.72,61.21,361.39,71.14,64.6,102.12,12.0,111.81,12.3,334.57,2.36
63.66,208.3,2.82,141.07,27.67,22.01,1.06,11.44,111.56,1.8,62.2,368.38,68.91,65.3,103.18,12.3,110.0,12.57,338.62,2.29
69.74,215.33,2.73,144.31,28.76,23.18,1.05,11.95,104.96,1.91,59.31,354.11,70.42,61.79,97.93,11.65,111.76,11.94,320.84,2.17
67.61,220.95,2.8,134.99,30.29,23.75,0.99,12.33,108.43,2.02,61.24,362.92,69.3,63.81,97.93,12.0,105.28,12.29,329.15,2.07
67.58,223.93,2.88,139.13,32.87,23.59,0.93,13.11,108.89,2.16,61.35,356.82,66.65,63.47,101.25,11.95,107.88,11.65,329.2,2.15
